Áreas	rep	Prof	Coleta	Araneae	Blattodea 	Casulo oligochaeta	Chilopoda	Coleoptera	Diplopoda	Formicidae	Hemiptera	Isopoda	Isoptera	L. de Coleoptera	Lepidoptera	Annelida	Oligochaeta	Orthoptera	Symphyla	Total	Riqueza média	Índice de Shannon	Índice de Pielou	índice de Margalef
Terço Superior	1	Serapileira	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	2	0.6365	0.9183	0.9102
Terço Superior	2	Serapileira	1	5	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	17	3	1.0551	0.9604	0.7059
Terço Superior	3	Serapileira	1	1	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	8	3	0.7356	0.6696	0.9618
Terço Superior	4	Serapileira	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	5	2	0.5004	0.7219	0.6213
Terço Médio	1	Serapileira	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	2	Serapileira	1	2	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	12	3	0.8676	0.7897	0.8049
Terço Médio	3	Serapileira	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Terço Médio	4	Serapileira	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	5	3	0.9503	0.865	1.2427
Terço Inferior	1	Serapileira	1	1	0	0	0	4	0	6	0	0	0	0	1	0	0	1	0	13	5	1.3114	0.8148	1.5595
Terço Inferior	2	Serapileira	1	2	0	0	0	1	0	36	0	0	0	1	0	0	0	0	2	42	5	0.6001	0.3728	1.0702
Terço Inferior	3	Serapileira	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0.6931	1	1.4427
Terço Inferior	4	Serapileira	1	2	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	7	4	1.3518	0.9751	1.5417
Terço Superior	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Superior	2	1	1	0	0	0	0	1	0	0	0	1	87	1	0	0	0	0	0	90	4	0.1828	0.1318	0.6667
Terço Superior	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	4	2	0.5623	0.8113	0.7213
Terço Superior	4	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	44	0	0	45	2	0.1066	0.1537	0.2627
Terço Médio	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	3	1	1	3	0	0	1	2	0	55	0	0	0	0	0	0	7	0	0	68	5	0.7091	0.4406	0.948
Terço Médio	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Inferior	1	1	1	0	2	0	2	0	0	2	1	4	0	0	0	0	8	0	0	19	6	1.5581	0.8696	1.6981
Terço Inferior	2	1	1	0	1	0	0	1	0	0	0	5	27	1	0	0	0	0	0	35	5	0.7829	0.4865	1.1251
Terço Inferior	3	1	1	2	0	0	0	0	0	0	1	5	4	2	0	0	15	0	0	29	6	1.4023	0.7826	1.4849
Terço Inferior	4	1	1	0	0	0	1	1	4	0	0	1	64	0	0	0	10	0	0	81	6	1.1526	0.7161	1.4118
Terço Superior	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Terço Superior	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Superior	3	2	1	0	0	0	0	0	0	0	0	0	13	0	0	0	3	0	0	16	2	0.4826	0.6962	0.3607
